gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,3,-1.4744025490663168,-0.9967797021711283
0,0,1,1,1.125056875803025,1,2,1,2,2,2,2,2,2,2,0,1,1.6780263602488188,1.9759328625962689
0,0,0,1,-0.3408762181180675,1,0,2,1,1,1,1,1,1,2,0,3,-1.4960059100684764,-0.7860266219491969
0,0,0,0,-1.2367242199587352,1,0,1,0,0,0,0,2,0,0,1,2,0.5280628361338618,-0.9421833159926397
0,0,0,0,-1.1552834925186746,1,2,1,0,2,0,0,0,0,0,0,0,0.4383257981248911,-0.8709763929283322
0,0,1,0,1.4100994218432374,1,2,0,2,2,2,0,0,0,2,0,3,0.0295237360840249,0.9013877460198897
0,0,1,0,1.4915401492832983,1,0,1,2,2,0,2,2,2,1,1,1,1.3838882912194153,2.1936345737863716
0,0,0,0,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0,0,3,0.15914390209698223,-0.9750955617212478
1,0,1,0,1.4100994218432374,1,2,2,1,1,1,1,1,1,2,0,1,-1.3265026160515319,-0.30716668208550735
1,0,0,0,-1.2774445836787656,1,0,1,0,0,0,0,2,2,0,1,2,0.8354952811645946,-0.9661174893274519
1,1,1,0,1.4100994218432374,1,2,1,2,2,0,0,0,0,0,0,0,0.6344178441444933,1.459903261839346
0,1,0,0,-0.21871512695797646,1,2,1,0,2,2,0,0,0,0,1,0,0.720831288153132,0.05352241302740901
0,0,0,0,0.35136996512244845,1,2,1,2,2,2,2,2,0,0,1,2,1.3872118852197473,0.8835418969619511
1,0,1,1,1.2879383306831464,1,2,1,0,2,2,2,2,2,2,1,1,1.476948923228718,1.9683003981042457
0,0,0,0,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0,1,2,0.16080569909714826,-0.9750735025753172
1,0,0,0,-1.0738427650786138,1,0,0,0,0,0,0,0,0,0,0,2,-0.6651074099854147,-0.8862413219123783
1,0,1,1,1.6137012404433893,0,1,0,2,2,2,2,2,2,2,1,1,0.016229360082695727,0.9702122813236815
0,0,1,1,1.002895784642934,1,0,0,2,0,0,0,2,2,1,1,0,0.1774236690988095,0.7207012817015056
1,0,1,0,1.5322605130033284,1,2,0,0,2,2,2,2,0,2,0,0,0.2721460981082788,1.3172908833973542
1,1,1,0,-0.9109613101984924,1,2,1,0,0,0,0,0,2,0,0,2,0.6909189421501416,-0.6300022827813382
1,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,2,0,1,3,-0.3011738669490337,-0.9812059451440526
0,1,0,0,1.5729808767233588,1,2,0,2,2,2,2,2,2,2,0,3,0.8338334841644282,1.7707828054407357
0,0,1,1,-1.1960038562387048,0,1,0,0,2,0,0,0,2,0,0,3,-0.8130073430001998,-0.9649704137390555
0,0,0,0,1.247217966963116,1,2,2,1,1,1,1,1,1,2,0,3,-1.3481059770536914,-0.2918576348095998
0,0,1,0,-0.30015585439803716,1,0,1,0,0,2,0,0,0,0,1,2,0.32698539911376057,-0.21264324177244723
1,0,0,1,1.2064976032430856,1,2,2,1,1,1,1,1,1,2,1,3,-1.341458789053027,-0.38238836970920287
0,0,1,0,0.9214550572028734,1,0,1,2,0,0,0,2,2,1,1,2,0.9966895901807084,1.3219453631887326
1,0,1,1,0.7992939660427822,1,0,0,2,2,2,0,2,2,2,0,2,0.47987072312904416,0.7661431223187527
0,0,0,1,-0.6666391278783103,1,0,1,0,0,0,0,2,0,0,1,2,0.5396954151350245,-0.4268816670514297
0,0,1,1,-0.13727439951791576,1,0,1,0,0,0,0,2,2,0,1,1,0.7656998071576172,0.1508914831655297
0,0,1,0,-1.2367242199587352,0,1,0,0,0,0,0,0,2,0,1,2,-0.9858342310174765,-0.9754485080561391
1,0,0,0,-0.9924020376385531,1,0,1,0,0,0,0,0,0,0,0,0,0.19736523310080326,-0.7616292065498399
0,0,0,0,-1.1145631287986442,1,0,1,0,2,0,0,2,0,0,1,3,0.682609957149311,-0.8202844755795778
1,0,0,0,-0.9516816739185228,1,0,2,1,1,1,1,1,1,0,0,1,-1.4976677070686424,-0.9260580803172963
0,1,0,0,-0.015113308357824713,1,0,1,0,2,0,0,0,0,0,1,2,0.32033821111309646,-0.0012283871725947124
1,0,1,1,1.6137012404433893,1,2,1,0,0,0,0,0,2,2,1,1,0.6560212051466532,1.6990464628740916
1,0,1,1,-1.0331224013585834,0,1,0,2,0,2,2,0,2,2,0,1,-0.5022513039691348,-0.8709763929283322
1,1,0,0,-0.5851984004382496,1,2,0,2,2,0,0,0,0,0,1,1,-0.2114368289400632,-0.5800824355401585
0,0,1,0,0.6364125111626608,1,2,1,0,2,0,2,2,2,0,1,1,1.3406815692150957,1.2369955922095972
0,1,1,0,1.5729808767233588,1,2,1,2,2,2,2,0,0,2,1,1,1.0498670941860242,1.9796829174044883
1,0,0,0,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0,1,2,0.17576187209864347,-0.9748749702619408
1,0,0,0,1.4915401492832983,1,2,1,0,2,0,2,2,2,1,1,0,1.3440051632154282,2.2528192623184466
1,0,1,0,1.125056875803025,1,0,2,1,1,1,1,1,1,2,1,0,-1.4710789550659844,-0.4768897508763323
1,1,1,0,-1.2774445836787656,0,1,0,0,0,0,0,0,0,0,0,2,-1.3198554280508674,-0.994728201599573
1,0,0,0,-1.2774445836787656,1,0,0,0,0,0,2,0,0,0,0,1,-0.5238546649712943,-0.9841618706987666
1,0,1,0,0.22920887396235737,1,2,1,2,0,0,0,2,0,0,0,0,0.895319973170575,0.5291175992933546
0,0,0,0,-1.1552834925186746,1,0,2,1,1,1,1,1,1,0,0,3,-1.4860351280674797,-0.9690292965903046
1,0,0,0,-0.055833672077855064,1,0,1,0,0,2,2,2,2,2,0,0,1.1528985081963241,0.3662549248869781
0,1,0,0,-0.748079855318371,1,0,1,2,2,0,0,0,0,0,0,2,0.46823814412788106,-0.54527310326151
0,1,1,0,1.5729808767233588,1,0,1,2,2,2,2,2,2,2,1,0,1.4935668932303794,2.4814402507442472
1,0,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,2,0,1,2,0.5380336181348585,-0.9302713771900604
1,0,1,1,1.2879383306831464,1,2,1,2,0,2,0,0,2,2,0,0,0.9518210711762233,1.5629194733357263
0,0,0,0,-0.9516816739185228,1,0,1,0,2,2,0,0,0,0,0,2,0.5247392421335293,-0.7172903232291279
0,0,1,0,0.9621754209229036,1,0,1,2,2,2,0,2,2,1,1,1,1.3572995392167568,1.6716048853362973
0,0,0,0,-0.8702409464784621,1,0,1,0,2,2,2,0,2,0,1,2,0.9784098231788811,-0.5646410333886667
1,0,1,1,1.6137012404433893,1,0,2,1,1,1,1,1,1,2,0,1,-1.5076384890696393,-0.4043372199102518
0,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,3,-1.4993295040688086,-0.9971105893600889
1,0,1,0,1.125056875803025,1,2,1,2,0,2,2,2,2,0,1,0,1.4852579082295487,1.8940493129015015
1,1,1,0,0.025607055362205634,0,1,0,0,2,2,2,2,0,0,1,2,-0.4906187249679718,-0.2333347206554462
1,0,1,1,1.6137012404433893,1,0,2,1,1,1,1,1,1,2,0,0,-1.4893587220678117,-0.42216100982225946
0,0,0,0,-0.2594354906780068,1,0,1,2,0,2,2,0,0,1,1,1,0.7440964461554579,-0.002485758490644714
0,0,0,0,-1.1960038562387048,1,0,1,0,0,0,2,0,2,0,0,2,0.6992279271509723,-0.8856898432641107
0,0,1,1,-0.4223169455581282,0,1,0,0,2,0,0,2,0,0,0,2,-0.8495668770038544,-0.6308184711807742
0,1,1,0,-0.4223169455581282,1,2,0,2,2,0,2,0,0,0,1,3,-0.04027173792295256,-0.3961532767699612
0,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,2,0,0,1,3,-0.3726311379561772,-0.9821544884190726
1,0,1,1,-0.21871512695797646,1,0,0,2,2,0,0,0,0,0,1,1,-0.3327480099521901,-0.33946127172805585
0,0,0,0,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0,0,0,0.16412929309748078,-0.9750293842834559
0,0,0,0,0.35136996512244845,1,2,1,0,2,2,0,2,2,0,1,2,1.3805646972190828,0.9545944060047439
0,1,0,0,-0.748079855318371,1,2,1,0,0,0,0,0,0,0,1,2,0.3170146171127639,-0.522133059180203
1,0,1,0,-1.0331224013585834,1,0,1,0,0,0,0,0,0,0,1,2,0.15249671409631763,-0.8067622191240572
0,0,0,0,-0.015113308357824713,1,2,0,0,2,0,0,0,0,0,1,2,-0.3510277769540174,-0.23829802848985426
1,0,1,1,0.35136996512244845,1,2,0,0,2,2,0,2,0,1,0,0,0.12424616509349373,0.24715759600711526
0,1,1,1,-1.1552834925186746,1,0,0,0,0,0,0,0,0,0,0,2,-0.6235624849812617,-0.9256610156905436
1,0,0,0,0.9621754209229036,1,2,2,1,1,1,1,1,1,2,1,0,-1.289943082047877,-0.3686896400862366
0,1,0,0,0.025607055362205634,1,2,1,0,2,2,2,2,2,0,1,2,1.5184938482328711,0.6069422661368727
1,1,0,0,-1.2367242199587352,1,0,0,2,0,2,0,2,0,0,0,0,0.05445069108651675,-0.9640659887558966
1,0,0,0,-0.1779947632379461,1,2,1,0,2,2,0,2,2,0,1,2,1.3606231332170895,0.30872467229970596
0,0,0,1,-1.2774445836787656,1,0,0,2,0,0,2,0,0,0,0,2,-0.3410569949530208,-0.9817353646463893
1,0,1,1,-1.2774445836787656,1,0,2,1,1,1,1,1,1,1,0,3,-1.5275800530716328,-0.9974855948409108
0,0,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,0,0,0.17410007509847744,-0.9382567880169747
1,1,1,0,-1.1552834925186746,1,2,1,0,0,0,0,0,0,0,1,3,0.32033821111309646,-0.8705131508637874
1,0,0,0,0.06632741908223598,1,2,1,0,2,0,2,2,2,0,1,2,1.3489905542159264,0.55629446707998
0,0,1,0,1.2879383306831464,1,2,0,0,0,2,2,0,0,1,0,0,-0.2130986259402292,0.6515017409168917
1,0,0,0,-1.0331224013585834,1,0,2,1,1,1,1,1,1,0,1,3,-1.5225946620711341,-0.9481834036857908
1,0,1,1,0.758573602322752,1,2,1,0,2,0,2,0,0,1,0,0,0.6460504231456565,0.891196420599905
1,0,0,0,-0.46303730927815856,1,0,2,1,1,1,1,1,1,1,1,3,-1.4760643460664828,-0.8192918140126962
0,0,0,0,-0.46303730927815856,1,0,0,2,2,0,2,2,0,2,0,1,0.2089978121019659,-0.33304206026222144
1,1,1,0,1.002895784642934,1,0,1,0,2,2,0,2,0,1,1,2,0.8604222361670865,1.2882831064984805
1,0,1,0,-1.0738427650786138,1,2,1,0,0,0,0,0,0,0,1,2,0.356897745116751,-0.8125417153579013
0,0,0,0,-0.9924020376385531,1,0,0,0,0,0,2,0,0,0,0,2,-0.5105602889699654,-0.8256669071866692
1,0,1,1,-0.5851984004382496,0,1,0,0,0,0,0,0,0,0,0,1,-1.303237458049206,-0.7993724052372719
1,1,1,0,-1.0331224013585834,1,0,1,0,0,0,0,0,0,0,1,3,0.1774236690988095,-0.7995047601128561
1,0,0,0,0.10704778280226633,1,2,0,2,0,2,0,0,0,0,1,2,-0.17155370093607614,-0.08154573750628233
0,0,0,0,-0.015113308357824713,1,2,0,2,0,0,0,2,2,1,0,3,0.3319707901142591,0.0014187103390895855
0,0,0,0,-0.0965540357978854,1,2,1,0,0,2,0,2,2,0,0,2,1.1861344481996465,0.36051954694499544
1,0,1,1,-0.2594354906780068,1,0,0,0,0,2,0,0,0,1,0,3,-0.47898614596680894,-0.43850683695691
1,0,0,0,0.22920887396235737,1,2,1,0,2,2,0,0,2,0,1,1,1.0083221691818711,0.622714555477325
0,1,0,0,0.35136996512244845,1,2,1,2,2,2,0,2,2,0,1,2,1.609892683242008,1.0631474631297309
1,0,1,1,0.06632741908223598,0,1,0,0,0,2,2,2,0,0,1,2,-0.6617838159850825,-0.369329355318227
1,1,1,0,0.9214550572028734,1,2,0,2,2,0,0,0,0,1,0,1,-0.1582593249347472,0.45722684270519504
0,1,1,0,1.002895784642934,1,2,1,0,2,2,0,0,2,0,0,1,0.9717626351782166,1.3937920014850302
0,1,1,0,1.369379058123207,1,2,1,0,2,2,0,2,2,1,0,1,1.3240635992134344,2.002845020631726
1,0,1,0,0.43281069256250915,1,0,1,2,2,2,0,0,0,0,1,1,0.7091987091519689,0.5611474791847345
0,0,1,1,-0.015113308357824713,1,0,0,2,2,2,2,0,2,0,0,0,0.38348649711940885,0.05489008007511253
1,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,3,-1.479387940066815,-0.9968458796089206
0,0,0,0,0.3106496014024181,1,2,0,0,0,2,2,2,2,1,1,3,0.531386430134194,0.40982173810011546
0,0,0,0,0.35136996512244845,1,2,1,0,0,2,0,2,2,0,0,0,1.1063681921916724,0.7548047213103716
1,1,0,0,-0.0965540357978854,1,2,1,2,0,0,0,0,2,0,1,1,0.8554368451665879,0.13946484557342576
0,0,0,0,-1.1960038562387048,1,0,1,0,0,2,2,0,0,0,0,1,0.5097830691320341,-0.9098004897663684
0,0,1,1,0.880734693482843,1,2,1,2,2,0,0,2,2,0,1,0,1.3074456292117733,1.4850506882003467
1,0,1,0,-0.9516816739185228,1,0,1,0,2,2,2,2,0,0,1,3,1.0000131841810405,-0.6128623263931824
1,1,1,0,-1.0331224013585834,1,2,1,0,0,0,0,0,0,0,1,2,0.35357415111641893,-0.7706072789436359
1,0,1,0,1.0436161483629645,1,2,1,0,0,2,0,2,2,1,0,1,1.182810854199314,1.5006244452274227
1,0,0,0,0.7992939660427822,1,2,1,0,0,2,0,0,2,2,1,1,0.8205391081630994,1.013845271974611
1,0,0,1,-0.2594354906780068,0,1,0,0,2,0,0,2,0,1,1,0,-0.8246399220013625,-0.5541188207797216
0,0,0,0,0.06632741908223598,1,0,2,1,1,1,1,1,1,0,0,3,-1.4760643460664828,-0.7087754928998767
1,0,0,0,0.8400143297628127,1,0,1,0,2,0,2,0,0,0,1,3,0.5264010391336954,0.9125276147148945
1,0,0,0,-0.7073594915983407,1,2,1,2,0,0,0,2,0,0,1,0,0.7640380101574512,-0.4577424122084825
1,0,0,1,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,1,3,-1.505976692069473,-0.9971988259438118
0,0,0,0,-1.1145631287986442,1,0,0,2,0,2,0,0,0,0,0,1,-0.29785027294870164,-0.8732484849591945
0,0,0,1,0.06632741908223598,1,0,1,2,2,2,0,2,2,0,1,0,1.3489905542159264,0.6215674798889286
0,0,0,0,-0.015113308357824713,1,2,1,0,0,2,0,2,2,0,1,2,1.2160467942026365,0.4655210815751393
0,0,1,1,0.35136996512244845,0,1,0,2,0,2,0,0,0,1,0,1,-0.9758634490164798,-0.38265307946037125
0,0,0,0,-0.30015585439803716,0,1,0,0,0,2,2,2,2,1,0,2,-0.3510277769540174,-0.3779103630852702
1,0,1,1,-0.62591876415828,1,2,0,2,0,0,2,0,0,1,1,3,-0.08846385092776998,-0.5219565860127574
0,0,0,0,-0.62591876415828,1,2,2,1,1,1,1,1,1,0,0,3,-1.328164413051698,-0.7961076516395279
0,0,0,0,1.5322605130033284,1,2,0,2,2,2,0,2,2,2,0,3,0.6626683931473177,1.6373690908518472
1,0,1,1,0.43281069256250915,1,0,2,1,1,1,1,1,1,1,1,3,-1.5142856770703037,-0.663311593136699
1,0,0,1,1.5729808767233588,1,2,2,1,1,1,1,1,1,2,0,3,-1.343120586053193,-0.2757985765720485
1,1,0,0,-1.2367242199587352,0,1,0,0,0,0,0,0,0,0,1,3,-1.3397969920528607,-0.9848236450766876
1,0,0,0,0.6771328748826912,1,2,1,0,0,0,0,0,0,0,1,0,0.32698539911376057,0.6355750375549246
0,1,1,0,1.6137012404433893,1,2,1,0,2,2,0,2,2,1,0,1,1.3373579752147637,2.337526382692344
1,0,0,0,-0.2594354906780068,1,2,1,0,0,2,2,0,0,0,1,3,0.6493740171459885,0.0008231133989606586
0,0,0,0,-0.5851984004382496,1,0,2,1,1,1,1,1,1,1,0,3,-1.4843733310673135,-0.8261963266890061
1,0,0,1,-1.2774445836787656,1,2,1,0,0,0,0,2,2,0,1,2,0.9484974771758907,-0.9646174674041641
1,0,1,0,-0.9516816739185228,0,1,0,0,0,0,0,0,0,1,0,0,-1.3514295710540236,-0.8911605114549249
1,0,1,0,-0.1779947632379461,1,0,1,0,0,0,2,0,0,0,0,0,0.39179548212023946,-0.0945606336053968
0,0,1,1,1.125056875803025,1,0,2,1,1,1,1,1,1,2,1,1,-1.5126238800701375,-0.5190447787499047
1,0,0,0,-0.38159658183809786,1,0,2,1,1,1,1,1,1,0,0,2,-1.4594463760648215,-0.7967032485796568
0,0,0,0,-0.7073594915983407,1,2,1,0,2,0,0,0,0,0,1,2,0.4981504901308714,-0.515250605649824
0,0,0,0,-0.13727439951791576,1,2,0,2,2,0,2,0,0,0,0,3,0.08934842809000525,-0.21116527899509022
0,0,1,1,0.9621754209229036,1,0,2,1,1,1,1,1,1,2,1,1,-1.4943441130683104,-0.5116990831549808
0,0,0,0,-0.8702409464784621,1,0,0,2,0,0,2,0,0,1,1,3,-0.33773340095268845,-0.7331949674451644
1,0,0,0,-0.21871512695797646,1,0,0,2,0,2,2,2,0,1,0,1,0.15249671409631763,-0.1554879946659971
1,0,1,0,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0,0,2,0.17410007509847744,-0.9748970294078716
0,0,1,0,1.369379058123207,1,2,1,0,2,2,2,0,0,1,1,0,0.8570986421667539,1.6990905811659527
0,1,0,0,-1.2367242199587352,1,2,0,0,2,0,0,0,0,0,1,1,-0.2729233179462098,-0.9536099535847437
0,0,1,1,-0.5444780367182193,1,0,2,1,1,1,1,1,1,2,0,3,-1.4827115340671475,-0.8347332161641879
1,0,1,1,1.2064976032430856,1,2,1,2,2,0,0,2,0,1,1,1,1.003336778181373,1.5494854534639286
0,0,1,0,0.758573602322752,1,2,0,0,2,0,2,2,2,1,1,1,0.4615909561272169,0.7372677002954631
0,0,1,0,1.6137012404433893,1,2,1,2,2,2,2,0,0,2,1,0,0.9800716201790471,2.0162128630657317
1,0,0,0,-0.9109613101984924,1,0,1,0,0,0,0,2,2,0,1,2,0.8222009051632655,-0.6249948566550688
0,0,1,0,0.18848851024232702,1,2,0,2,0,2,2,0,0,1,0,1,0.11095178909216456,0.08802291726302762
0,0,0,1,0.10704778280226633,1,2,0,0,0,0,0,0,0,0,0,3,-0.4856333339674735,-0.27546768938308797
0,0,0,0,-0.9109613101984924,1,0,0,0,0,0,2,0,2,0,1,3,-0.12668518193159078,-0.7280331272973801
1,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,3,-1.4827115340671475,-0.9968899979007819
0,0,1,1,-0.2594354906780068,1,0,2,1,1,1,1,1,1,0,1,1,-1.479387940066815,-0.7878575310614452
1,0,1,0,1.6137012404433893,1,2,0,2,2,2,2,0,2,2,1,0,0.5829021371393436,1.6327366702064
0,1,0,0,0.22920887396235737,1,2,1,0,0,0,2,2,2,0,1,2,1.156222102196656,0.64170748012366
0,0,0,0,-0.5851984004382496,1,2,1,0,0,0,2,2,2,0,1,0,1.1661928841976528,-0.22181984647961944
1,0,0,0,0.9621754209229036,1,0,0,2,0,2,0,0,0,1,0,3,-0.4008816869590011,0.32646022562799065
0,0,0,0,0.14776814652229667,1,2,0,2,0,0,0,0,0,1,0,3,-0.3427187919531868,-0.17039997731515197
1,0,1,1,-0.4223169455581282,1,2,1,0,0,2,0,2,0,0,1,2,0.7972739501607736,-0.17408385468557924
1,0,1,1,1.3286586944031769,1,2,1,0,0,2,2,2,2,2,1,0,1.3074456292117733,1.9501677801492086
1,0,1,0,-0.21871512695797646,1,0,0,0,2,0,2,0,0,0,1,2,-0.3643221529553466,-0.3926017542751181
0,0,0,0,-0.13727439951791576,1,2,1,0,0,0,0,0,0,0,1,2,0.31369102311243185,-0.12639198118340053
1,1,0,0,-0.9109613101984924,1,2,1,0,0,0,0,2,2,0,1,2,1.0166311541827018,-0.6094431587739235
0,1,0,0,0.7178532386027215,1,2,1,0,0,2,2,2,2,0,1,2,1.3356961782145975,1.2982317813132274
1,0,0,0,-0.9516816739185228,1,0,1,0,0,0,2,2,0,0,0,2,0.7141841001524675,-0.6658483949187297
1,0,1,1,-0.38159658183809786,1,2,2,1,1,1,1,1,1,1,0,3,-1.343120586053193,-0.7682028320371893
1,0,1,1,-0.3408762181180675,1,2,0,2,0,0,0,0,0,0,0,2,-0.3327480099521901,-0.4154109111674644
1,0,1,0,-1.2774445836787656,1,0,0,2,0,2,0,0,0,0,0,3,-0.3011738669490337,-0.9812059451440526
1,0,0,0,-0.5037576729981889,1,0,0,2,0,2,0,0,2,0,0,1,-0.012021188920128179,-0.3887414037372452
1,0,1,0,1.0436161483629645,1,0,0,2,2,2,0,0,0,1,0,1,-0.14828854293375057,0.5665078516458952
0,0,0,0,0.5956921474426305,1,0,2,1,1,1,1,1,1,2,0,3,-1.4827115340671475,-0.5442142642568363
1,1,1,0,1.6137012404433893,1,2,1,2,2,2,2,0,0,2,1,0,0.9401884921750601,1.9656091823007003
1,0,1,0,-0.748079855318371,1,0,0,0,0,2,0,0,0,0,0,1,-0.48397153696730727,-0.7106946385958479
0,0,1,1,1.2064976032430856,1,0,0,2,0,2,0,0,0,1,0,1,-0.3327480099521901,0.5054260765637799
0,1,1,0,0.18848851024232702,1,2,1,0,0,0,0,0,0,0,1,2,0.39013368512007346,0.25959895431203156
1,0,0,0,-0.13727439951791576,0,1,0,0,2,0,2,0,0,0,0,2,-1.0124229830201346,-0.5625012962333886
0,0,0,0,1.2064976032430856,1,0,2,1,1,1,1,1,1,2,1,1,-1.5142856770703037,-0.5100446472101781
0,0,0,1,0.5549717837226001,1,0,1,0,2,2,0,2,2,0,1,2,1.1645310871974868,0.9315646576530906
1,0,1,0,-1.2367242199587352,1,0,1,0,0,0,2,2,2,0,1,2,0.9784098231788811,-0.9318816948430017
0,0,0,0,0.7178532386027215,1,2,1,0,0,0,0,2,2,0,1,2,1.0282637331838649,1.0809050756039464
1,0,1,0,-0.3408762181180675,1,2,1,0,2,2,0,2,2,0,1,2,1.325725396213601,0.11590567771943547
1,1,1,0,0.9214550572028734,1,2,1,0,2,2,2,2,2,2,1,2,1.6231870592433366,1.7704519182517753
0,0,0,0,1.2879383306831464,1,2,1,2,2,2,2,2,2,2,1,0,1.6730409692483204,2.229877750550516
0,0,0,0,-1.1552834925186746,1,2,1,0,2,0,0,0,2,0,1,2,0.8039211381614382,-0.8490716610191446
0,0,0,0,-1.0738427650786138,0,1,0,2,0,0,0,0,0,0,0,0,-1.1736172920362484,-0.9345508515006168
1,1,0,0,-1.2774445836787656,1,2,1,0,0,0,0,0,0,0,1,2,0.3884718881199074,-0.9720513995828111
1,0,1,1,0.18848851024232702,1,2,0,2,0,2,2,0,0,2,1,1,-0.0651986929254444,-0.00043425791908934284
1,1,1,0,1.5729808767233588,1,2,2,1,1,1,1,1,1,2,0,0,-1.3265026160515319,-0.16709110542554662
1,0,1,1,-0.13727439951791576,0,1,0,2,2,2,2,0,2,1,1,1,-0.31280644595019663,-0.2835854550855864
1,0,0,0,-1.0331224013585834,1,2,1,0,0,2,0,2,0,0,1,1,0.8172155141627669,-0.7270184065845677
1,0,1,0,-0.015113308357824713,1,2,1,0,2,0,0,2,2,0,1,1,1.1329569441943304,0.38213750995708384
0,0,1,0,1.0843365120829946,1,2,1,2,2,0,0,2,0,0,1,2,0.9966895901807084,1.46380773066908
1,0,1,1,0.3106496014024181,1,2,0,0,0,2,0,2,2,0,1,2,0.32532360211359457,0.32471755309946526
1,0,0,0,-0.9109613101984924,0,1,0,0,0,2,0,0,0,0,0,3,-1.1719554950360824,-0.8931678937346188
0,0,0,0,-0.21871512695797646,1,0,2,1,1,1,1,1,1,1,0,3,-1.51594747407047,-0.7845927774637013
0,0,1,0,-1.0331224013585834,1,2,1,0,0,0,0,2,0,0,1,2,0.722493085153298,-0.7487907836181711
1,0,1,1,1.3286586944031769,1,2,2,1,1,1,1,1,1,2,0,1,-1.329826210051864,-0.24910700999589847
0,0,0,0,-0.9109613101984924,1,2,1,0,2,0,0,0,0,0,1,1,0.5396954151350245,-0.6448701471386317
0,0,1,1,-0.38159658183809786,1,0,1,2,2,0,2,0,0,0,0,3,0.6526976111463211,-0.15127469779323297
0,0,1,1,0.5956921474426305,1,2,0,2,2,0,2,2,2,2,1,1,0.682609957149311,0.8062687087667004
1,0,1,0,-0.8702409464784621,1,0,0,0,0,0,0,2,0,0,1,0,-0.3227772279511935,-0.7374744417557206
1,0,0,0,-0.8295205827584317,0,1,0,0,2,0,2,0,0,0,0,3,-1.0223937650211312,-0.8105784513700687
1,0,0,1,-0.0965540357978854,0,1,0,0,0,0,0,2,2,0,1,2,-0.6734163949862454,-0.4288008127474009
0,0,0,0,-1.2774445836787656,1,0,1,0,2,0,0,0,0,0,1,2,0.36354493311741554,-0.9723822867717715
0,0,1,0,1.002895784642934,1,2,1,0,2,2,2,2,2,1,1,0,1.4835961112293827,1.7528046015072132
1,1,1,0,-0.8702409464784621,1,0,1,0,0,0,0,0,0,0,1,2,0.18074726309914202,-0.6375244515437077
0,0,0,0,-0.9516816739185228,1,0,2,1,1,1,1,1,1,0,0,0,-1.504314895069307,-0.9394479818972327
